MC3000-Set,Slot 1
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:15:54.000,4.2,0.0,0,0.0,0.0,26.3,62,46.5
             02:15:58.000,4.1,-0.3,0,1.2,0.0,26.3,62,47.0
             02:18:58.000,4.0,-1.0,50,4.0,0.2,27.9,62,63.5
             02:45:22.000,3.9,-1.0,490,4.0,2.0,35.0,62,82.5
             03:03:58.000,3.8,-1.0,800,3.9,3.2,35.8,62,81.9
             03:28:26.000,3.7,-1.0,1208,3.8,4.7,35.6,62,80.2
             03:50:38.000,3.6,-1.0,1578,3.7,6.1,35.5,62,78.8
             04:13:47.000,3.5,-1.0,1964,3.6,7.5,35.7,62,77.5
             04:39:41.000,3.4,-1.0,2396,3.5,9.0,35.9,62,76.3
             05:00:57.000,3.3,-1.0,2750,3.4,10.2,35.9,62,74.6
             05:12:44.000,3.2,-1.0,2946,3.3,10.8,35.9,62,73.6
             05:19:48.000,3.1,-1.0,3064,3.2,11.2,35.9,62,70.5
             05:22:25.000,3.0,-1.0,3108,3.1,11.4,35.7,62,66.4
