MC3000-Set,Slot 4
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:02.000,4.2,-0.0,1,0.1,0.0,27.2,51,30.8
             02:13:08.000,4.1,-0.6,1,2.3,0.0,27.2,51,30.8
             02:19:01.000,4.0,-1.0,99,4.0,0.4,28.9,51,63.6
             02:47:12.000,3.9,-1.0,569,4.0,2.3,36.9,51,82.6
             03:05:57.000,3.8,-1.0,881,3.9,3.5,37.7,51,81.7
             03:31:10.000,3.7,-1.0,1302,3.8,5.1,37.6,51,80.0
             03:52:58.000,3.6,-1.0,1665,3.7,6.4,37.2,51,78.6
             04:17:14.000,3.5,-1.0,2069,3.6,7.9,37.2,51,77.4
             04:42:04.000,3.4,-1.0,2483,3.5,9.3,37.6,51,76.0
             05:02:28.000,3.3,-1.0,2823,3.4,10.5,37.3,51,74.6
             05:12:50.000,3.2,-1.0,2996,3.3,11.1,37.4,51,73.6
             05:19:38.000,3.1,-1.0,3109,3.2,11.4,37.5,51,70.7
             05:22:10.000,3.0,-1.0,3152,3.1,11.6,37.3,51,67.2
