MC3000-Set,Slot 4
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:12:51.000,4.2,-0.0,1,0.1,0.0,29.7,58,45.6
             02:12:57.000,4.1,-0.6,1,2.5,0.0,29.7,58,46.2
             02:19:32.000,4.0,-1.0,111,4.0,0.4,33.3,58,73.1
             02:47:17.000,3.9,-1.0,573,4.0,2.3,39.2,58,84.3
             03:05:53.000,3.8,-1.0,883,3.9,3.5,39.8,58,83.3
             03:31:12.000,3.7,-1.0,1305,3.8,5.1,39.7,58,82.0
             03:53:06.000,3.6,-1.0,1670,3.7,6.5,39.3,58,80.5
             04:17:11.000,3.5,-1.0,2072,3.6,7.9,39.0,58,78.9
             04:42:13.000,3.4,-1.0,2489,3.5,9.4,39.1,58,77.5
             05:02:45.000,3.3,-1.0,2831,3.4,10.5,38.9,58,76.0
             05:13:23.000,3.2,-1.0,3008,3.3,11.1,38.9,58,74.7
             05:20:22.000,3.1,-1.0,3125,3.2,11.5,38.7,58,65.5
             05:22:59.000,3.0,0.0,3168,3.1,11.6,38.0,58,55.9
