MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:48.000,4.2,0.0,0,0.0,0.0,30.3,59,37.9
             02:13:54.000,4.1,-0.6,1,2.4,0.0,30.3,59,38.4
             02:18:41.000,4.0,-1.0,80,4.0,0.3,31.9,59,65.4
             02:43:23.000,3.9,-1.0,492,4.0,2.0,37.9,59,83.0
             03:01:29.000,3.8,-1.0,794,3.9,3.1,38.7,59,82.3
             03:25:15.000,3.7,-1.0,1190,3.8,4.7,38.8,59,80.9
             03:46:59.000,3.6,-1.0,1552,3.7,6.0,38.5,59,79.5
             04:09:16.000,3.5,-1.0,1923,3.6,7.3,38.2,59,77.8
             04:34:52.000,3.4,-1.0,2350,3.5,8.8,38.1,59,76.4
             04:55:49.000,3.3,-1.0,2699,3.4,10.0,37.9,59,74.7
             05:07:55.000,3.2,-1.0,2901,3.3,10.7,37.9,59,73.9
             05:15:07.000,3.1,-1.0,3021,3.2,11.1,37.9,59,73.0
             05:17:41.000,3.0,-1.0,3064,3.1,11.2,37.9,59,72.5
