MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:09:27.000,4.2,-0.0,1,0.0,0.0,30.7,56,32.3
             02:09:33.000,4.1,-0.6,1,2.3,0.0,30.7,56,32.3
             02:15:26.000,4.0,-1.0,99,4.1,0.4,31.2,56,57.5
             02:42:22.000,3.9,-1.0,548,4.0,2.2,38.9,56,84.5
             03:01:10.000,3.8,-1.0,862,3.9,3.4,40.0,56,83.5
             03:26:18.000,3.7,-1.0,1281,3.8,5.0,40.6,56,83.7
             03:49:04.000,3.6,-1.0,1660,3.7,6.4,40.5,56,82.8
             04:12:38.000,3.5,-1.0,2053,3.6,7.8,40.3,56,81.4
             04:38:56.000,3.4,-1.0,2492,3.5,9.4,40.4,56,80.0
             05:00:23.000,3.3,-1.0,2849,3.4,10.6,40.2,56,78.6
             05:12:45.000,3.2,-1.0,3056,3.3,11.3,40.3,56,77.6
             05:20:17.000,3.1,-1.0,3181,3.2,11.7,40.4,56,76.6
             05:23:06.000,3.0,-1.0,3228,3.1,11.8,40.0,56,72.8
