MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:09:48.000,4.2,-0.0,0,0.1,0.0,28.6,55,31.2
             02:09:52.000,4.1,-0.4,0,1.7,0.0,28.6,55,31.2
             02:14:51.000,4.0,-1.0,83,4.1,0.3,28.4,55,48.5
             02:42:10.000,3.9,-1.0,539,4.0,2.2,37.1,55,83.6
             03:00:55.000,3.8,-1.0,851,3.9,3.4,38.3,55,83.4
             03:26:23.000,3.7,-1.0,1276,3.8,5.0,38.4,55,81.9
             03:49:10.000,3.6,-1.0,1656,3.7,6.4,37.9,55,80.1
             04:12:52.000,3.5,-1.0,2051,3.6,7.8,37.6,55,78.6
             04:39:02.000,3.4,-1.0,2487,3.5,9.3,37.7,55,77.5
             05:00:22.000,3.3,-1.0,2843,3.4,10.6,37.6,55,76.0
             05:12:07.000,3.2,-1.0,3039,3.3,11.2,37.9,55,75.2
             05:19:26.000,3.1,-1.0,3161,3.2,11.6,38.2,55,74.5
             05:22:05.000,3.0,-1.0,3205,3.1,11.7,38.2,55,72.9
