MC3000-Set,Slot 4
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:51.000,4.2,0.0,1,0.0,0.0,28.6,58,47.8
             02:13:57.000,4.1,-0.6,1,2.2,0.0,28.6,58,48.2
             02:19:52.000,4.0,-1.0,100,4.0,0.4,30.4,58,72.3
             02:46:23.000,3.9,-1.0,542,4.0,2.2,36.0,58,84.1
             03:04:22.000,3.8,-1.0,842,3.9,3.3,36.7,58,83.5
             03:28:33.000,3.7,-1.0,1245,3.8,4.9,36.9,58,83.6
             03:50:21.000,3.6,-1.0,1608,3.7,6.2,36.8,58,82.7
             04:13:20.000,3.5,-1.0,1991,3.6,7.6,36.7,58,81.4
             04:38:17.000,3.4,-1.0,2407,3.5,9.1,36.8,58,80.0
             04:59:04.000,3.3,-1.0,2753,3.4,10.2,36.7,58,78.6
             05:10:41.000,3.2,-1.0,2947,3.3,10.9,36.8,58,77.8
             05:17:50.000,3.1,-1.0,3066,3.2,11.2,36.9,58,77.1
             05:20:26.000,3.0,-1.0,3110,3.1,11.4,36.9,58,76.6
