MC3000-Set,Slot 2
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:11:52.000,4.2,0.0,0,0.0,0.0,30.8,58,32.2
             02:11:58.000,4.1,-0.6,1,2.5,0.0,30.8,58,32.2
             02:17:32.000,4.0,-1.0,93,4.1,0.4,31.2,58,61.2
             02:44:38.000,3.9,-1.0,545,4.0,2.2,37.0,58,83.0
             03:02:53.000,3.8,-1.0,849,3.9,3.4,37.7,58,82.3
             03:27:56.000,3.7,-1.0,1267,3.8,5.0,37.7,58,80.7
             03:50:10.000,3.6,-1.0,1638,3.7,6.3,37.3,58,79.3
             04:13:44.000,3.5,-1.0,2030,3.6,7.7,37.0,58,77.6
             04:39:39.000,3.4,-1.0,2462,3.5,9.3,36.9,58,76.0
             05:00:41.000,3.3,-1.0,2813,3.4,10.4,36.7,58,74.5
             05:12:05.000,3.2,-1.0,3003,3.3,11.1,36.6,58,73.4
             05:19:16.000,3.1,-1.0,3123,3.2,11.5,36.4,58,70.3
             05:21:54.000,3.0,-1.0,3167,3.1,11.6,36.0,58,63.2
