MC3000-Set,Slot 1
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:10:53.000,4.2,-0.0,1,0.1,0.0,30.0,59,35.0
             02:10:58.000,4.1,-0.5,1,2.2,0.0,30.0,59,35.2
             02:15:52.000,4.0,-1.0,83,4.0,0.3,30.9,59,59.7
             02:41:32.000,3.9,-1.0,508,3.8,2.0,38.5,59,84.6
             03:01:20.000,3.8,-1.0,821,3.7,3.3,39.7,59,83.5
             03:25:11.000,3.7,-1.0,1207,3.8,4.7,40.4,59,83.6
             03:48:31.000,3.6,-1.0,1596,3.7,6.2,40.4,59,82.8
             04:11:29.000,3.5,-1.0,1978,3.6,7.5,40.1,59,81.5
             04:38:31.000,3.4,-1.0,2429,3.5,9.1,40.2,59,80.0
             04:59:51.000,3.3,-1.0,2784,3.4,10.3,40.1,59,78.6
             05:13:35.000,3.2,-1.0,3013,3.3,11.1,40.1,59,77.6
             05:21:25.000,3.1,-1.0,3144,3.2,11.5,40.2,59,75.5
             05:24:19.000,3.0,0.0,3192,2.0,11.6,39.8,59,70.0
