MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:11:18.000,4.2,0.0,1,0.0,0.0,31.4,56,33.2
             02:11:25.000,4.1,-0.7,2,2.9,0.0,31.3,56,33.2
             02:16:52.000,4.0,-1.0,92,4.0,0.4,32.6,56,65.5
             02:41:30.000,3.9,-1.0,503,4.0,2.0,38.4,56,83.6
             02:59:38.000,3.8,-1.0,805,3.9,3.2,39.2,56,83.0
             03:23:21.000,3.7,-1.0,1200,3.8,4.7,39.4,56,81.6
             03:45:21.000,3.6,-1.0,1567,3.7,6.0,38.9,56,80.2
             04:07:57.000,3.5,-1.0,1943,3.6,7.4,38.5,56,78.5
             04:33:39.000,3.4,-1.0,2372,3.5,8.9,38.5,56,77.2
             04:54:13.000,3.3,-1.0,2714,3.4,10.1,38.5,56,75.7
             05:06:10.000,3.2,-1.0,2914,3.3,10.7,38.4,56,74.6
             05:13:21.000,3.1,-1.0,3033,3.2,11.1,38.3,56,73.6
             05:15:53.000,3.0,0.0,3076,2.1,11.2,38.4,56,73.2
