MC3000-Set,Slot 2
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:53.000,4.2,0.0,1,0.0,0.0,31.5,52,47.9
             02:13:58.000,4.1,-0.5,1,2.1,0.0,31.5,52,48.3
             02:19:57.000,4.0,-1.0,101,4.1,0.4,33.4,52,72.5
             02:48:44.000,3.9,-1.0,572,3.8,2.3,39.1,52,84.0
             03:08:21.000,3.8,-0.9,882,3.7,3.5,39.8,52,83.2
             03:33:10.000,3.7,-1.0,1290,3.8,5.0,40.4,52,83.5
             03:55:26.000,3.6,-1.0,1661,3.7,6.4,40.2,52,82.5
             04:19:52.000,3.5,-1.0,2068,3.6,7.9,40.0,52,81.0
             04:45:57.000,3.4,-1.0,2503,3.5,9.4,40.1,52,79.6
             05:07:00.000,3.3,-1.0,2854,3.4,10.6,40.0,52,78.0
             05:18:32.000,3.2,-1.0,3046,3.3,11.2,39.9,52,77.0
             05:25:54.000,3.1,-1.0,3169,3.2,11.6,39.0,52,63.0
             05:28:35.000,3.0,-1.0,3214,3.1,11.8,38.0,52,55.2
