MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:14:19.000,4.2,0.0,0,0.0,0.0,28.8,88,36.1
             02:14:25.000,4.1,-0.5,0,2.1,0.0,28.8,88,36.6
             02:18:28.000,4.0,-1.0,68,4.0,0.3,30.2,88,61.5
             02:43:11.000,3.9,-1.0,480,4.0,1.9,37.1,88,82.5
             03:01:28.000,3.8,-1.0,784,3.9,3.1,38.3,88,82.0
             03:25:09.000,3.7,-1.0,1179,3.8,4.6,38.3,88,80.4
             03:47:01.000,3.6,-1.0,1543,3.7,6.0,38.0,88,79.0
             04:09:16.000,3.5,-1.0,1914,3.6,7.3,37.9,88,77.7
             04:35:06.000,3.4,-1.0,2345,3.5,8.8,38.1,88,76.5
             04:55:51.000,3.3,-1.0,2690,3.4,10.0,38.2,88,75.0
             05:08:19.000,3.2,-1.0,2898,3.3,10.7,38.1,88,74.1
             05:15:34.000,3.1,-1.0,3019,3.2,11.0,38.2,88,73.3
             05:18:07.000,3.0,-1.0,3062,3.1,11.2,38.2,88,72.8
