MC3000-Set,Slot 1
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             07:54:31.000,4.2,0.0,0,0.0,0.0,30.6,61,35.1
             07:54:37.000,4.1,-0.6,1,2.5,0.0,30.6,61,35.4
             08:00:16.000,4.0,-1.0,95,4.1,0.4,31.5,61,60.7
             08:26:26.000,3.9,-1.0,531,4.0,2.1,37.3,61,83.9
             08:44:36.000,3.8,-1.0,834,3.9,3.3,37.6,61,83.0
             09:08:59.000,3.7,-1.0,1240,3.8,4.9,37.2,61,81.3
             09:31:06.000,3.6,-1.0,1609,3.7,6.2,36.7,61,79.8
             09:54:19.000,3.5,-1.0,1996,3.6,7.6,36.3,61,78.0
             10:19:41.000,3.4,-1.0,2419,3.5,9.1,36.1,61,76.5
             10:40:44.000,3.3,-1.0,2770,3.4,10.3,36.1,61,75.0
             10:52:01.000,3.2,-1.0,2958,3.3,10.9,36.1,61,74.0
             10:59:01.000,3.1,-1.0,3075,3.2,11.3,36.3,61,72.6
             11:01:41.000,3.0,0.0,3119,0.0,11.4,36.0,61,68.6
