MC3000-Set,Slot 2
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:08.000,4.2,0.0,0,0.0,0.0,29.3,59,30.8
             02:13:14.000,4.1,-0.5,1,2.2,0.0,29.3,59,31.0
             02:17:45.000,4.0,-1.0,76,4.1,0.3,29.9,59,58.4
             02:44:17.000,3.9,-1.0,518,4.0,2.1,36.4,59,82.5
             03:02:59.000,3.8,-1.0,830,3.9,3.3,37.4,59,82.0
             03:27:41.000,3.7,-1.0,1242,3.8,4.9,37.3,59,80.3
             03:49:54.000,3.6,-1.0,1612,3.7,6.2,37.0,59,78.8
             04:13:03.000,3.5,-1.0,1998,3.6,7.6,36.9,59,77.5
             04:38:56.000,3.4,-1.0,2429,3.5,9.1,37.2,59,76.3
             05:00:01.000,3.3,-1.0,2781,3.4,10.3,37.1,59,74.8
             05:11:59.000,3.2,-1.0,2980,3.3,11.0,37.1,59,73.7
             05:19:16.000,3.1,-1.0,3102,3.2,11.4,37.1,59,71.3
             05:21:55.000,3.0,-1.0,3146,3.1,11.5,36.7,59,67.7
