MC3000-Set,Slot 4
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:15:01.000,4.2,-0.0,0,0.1,0.0,28.3,66,45.7
             02:15:05.000,4.1,-0.4,0,1.8,0.0,28.3,66,46.2
             02:19:56.000,4.0,-1.0,81,4.0,0.3,31.2,66,68.7
             02:47:45.000,3.9,-1.0,544,4.0,2.2,37.7,66,83.0
             03:06:13.000,3.8,-1.0,852,3.9,3.4,38.2,66,82.0
             03:31:18.000,3.7,-1.0,1270,3.8,5.0,38.2,66,80.5
             03:53:07.000,3.6,-1.0,1634,3.7,6.3,37.9,66,79.0
             04:16:42.000,3.5,-1.0,2027,3.6,7.7,37.4,66,77.4
             04:41:36.000,3.4,-1.0,2442,3.5,9.2,37.3,66,75.9
             05:02:26.000,3.3,-1.0,2789,3.4,10.4,37.1,66,74.3
             05:13:40.000,3.2,-1.0,2976,3.3,11.0,37.1,66,73.1
             05:20:44.000,3.1,-1.0,3094,3.2,11.4,36.8,66,66.4
             05:23:17.000,3.0,-1.0,3137,3.1,11.5,36.3,66,57.6
