MC3000-Set,Slot 2
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:10:27.000,4.2,0.0,1,0.0,0.0,32.6,58,33.8
             02:10:34.000,4.1,-0.7,2,2.8,0.0,32.6,58,33.8
             02:16:53.000,4.0,-1.0,107,4.1,0.4,33.1,58,66.8
             02:43:13.000,3.9,-1.0,546,4.0,2.2,38.5,58,84.5
             03:01:21.000,3.8,-1.0,848,3.9,3.4,39.3,58,83.5
             03:26:07.000,3.7,-1.0,1261,3.8,4.9,39.4,58,82.3
             03:48:25.000,3.6,-1.0,1633,3.7,6.3,39.1,58,80.8
             04:11:47.000,3.5,-1.0,2022,3.6,7.7,38.8,58,79.2
             04:37:41.000,3.4,-1.0,2454,3.5,9.2,38.8,58,77.8
             04:58:35.000,3.3,-1.0,2802,3.4,10.4,38.7,58,76.5
             05:10:18.000,3.2,-1.0,2998,3.3,11.1,38.7,58,75.1
             05:17:34.000,3.1,-1.0,3119,3.2,11.4,38.7,58,73.5
             05:20:16.000,3.0,-1.0,3164,3.1,11.6,38.2,58,65.8
