MC3000-Set,Slot 1
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:11:19.000,4.2,0.0,0,0.0,0.0,29.7,60,33.2
             02:11:25.000,4.1,-0.6,1,2.4,0.0,29.7,60,33.2
             02:16:40.000,4.0,-1.0,88,4.0,0.4,31.0,60,64.9
             02:43:14.000,3.9,-1.0,531,4.0,2.1,37.1,60,83.6
             03:01:30.000,3.8,-1.0,835,3.9,3.3,37.9,60,83.0
             03:26:02.000,3.7,-1.0,1244,3.8,4.9,38.0,60,81.5
             03:48:04.000,3.6,-1.0,1612,3.7,6.2,37.4,60,80.0
             04:11:19.000,3.5,-1.0,1999,3.6,7.6,37.0,60,78.3
             04:36:56.000,3.4,-1.0,2426,3.5,9.1,37.0,60,77.0
             04:57:47.000,3.3,-1.0,2774,3.4,10.3,36.8,60,75.4
             05:09:16.000,3.2,-1.0,2965,3.3,10.9,36.7,60,74.2
             05:16:15.000,3.1,-1.0,3082,3.2,11.3,36.7,60,73.0
             05:18:51.000,3.0,0.0,3125,1.8,11.4,36.5,60,68.9
