MC3000-Set,Slot 2
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:15:38.000,4.2,0.0,1,0.0,0.0,29.2,55,52.2
             02:15:43.000,4.1,-0.5,1,2.1,0.0,29.2,55,52.5
             02:20:31.000,4.0,-1.0,81,4.0,0.3,30.9,55,70.6
             02:48:33.000,3.9,-1.0,548,4.0,2.2,36.9,55,83.8
             03:07:10.000,3.8,-1.0,858,3.9,3.4,37.6,55,83.0
             03:32:39.000,3.7,-1.0,1283,3.8,5.0,37.3,55,81.3
             03:54:55.000,3.6,-1.0,1654,3.7,6.4,36.9,55,79.7
             04:18:51.000,3.5,-1.0,2053,3.6,7.8,36.7,55,78.3
             04:44:50.000,3.4,-1.0,2486,3.5,9.3,36.9,55,77.0
             05:05:48.000,3.3,-1.0,2836,3.4,10.5,36.8,55,75.6
             05:16:55.000,3.2,-1.0,3021,3.3,11.1,37.4,55,74.8
             05:24:04.000,3.1,-1.0,3140,3.2,11.5,37.2,55,63.8
             05:26:44.000,3.0,-1.0,3185,3.1,11.7,36.3,55,55.1
